Title;Author;Price;Url
{Вы пока еще не знаете JS} Познакомьтесь, JavaScript...;Симпсон;948 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vy-poka-esche-ne-znaete-js-poznakomtes-javascript-2-e-izd
Чистая архитектура. Искусство разработки программног...;Мартин;943 р.;https://www.piter.com/collection/kompyutery-i-internet/product/chistaya-arhitektura-iskusstvo-razrabotki-programmnogo-obespecheniya
Python: быстрый старт;Чан;911 р.;https://www.piter.com/collection/kompyutery-i-internet/product/python-bystryy-start
Как пасти котов. Наставление для программистов, руко...;Рейнвотер;906 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kak-pasti-kotov-nastavlenie-dlya-programmistov-rukovodyaschih-drugimi-programmistami-20686e
Rails 4. Гибкая разработка веб-приложений;Руби;731 р.;https://www.piter.com/collection/kompyutery-i-internet/product/rails-4-gibkaya-razrabotka-veb-prilozheniy-2
Грокаем алгоритмы. Иллюстрированное пособие для прог...;Бхаргава;871 р.;https://www.piter.com/collection/kompyutery-i-internet/product/grokaem-algoritmy-illyustrirovannoe-posobie-dlya-programmistov-i-lyubopytstvuyuschih-2
Паттерны объектно-ориентированного проектирования;Гамма;870 р.;https://www.piter.com/collection/kompyutery-i-internet/product/patterny-obektno-orientirovannogo-proektirovaniya
В одно касание. Бизнес-стратегии Google, Apple, Face...;Мехта;858 р.;https://www.piter.com/collection/kompyutery-i-internet/product/v-odno-kasanie-biznes-strategii-google-apple-facebook-amazon-i-drugih-korporatsiy
Гибкая разработка веб-приложений в среде Rails. 4-е ...;Руби;696 р.;https://www.piter.com/collection/kompyutery-i-internet/product/gibkaya-razrabotka-veb-prilozheniy-v-srede-rails-4-e-izd
MySQL по максимуму. 3-е издание;Шварц ;799 р.;https://www.piter.com/collection/kompyutery-i-internet/product/mysql-po-maksimumu-3-e-izdanie
Внутреннее устройство Windows. 7-е изд.;Руссинович;799 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vnutrennee-ustroystvo-windows-7-e-izd
Бизнес-моделирование и анализ данных. Решение актуал...;Винстон;799 р.;https://www.piter.com/collection/kompyutery-i-internet/product/biznes-modelirovanie-i-analiz-dannyh-reshenie-aktualnyh-zadach-s-pomoschyu-microsoft-excel-6-e-izdanie
Scala. Профессиональное программирование. 5-е изд.;Одерски;799 р.;https://www.piter.com/collection/kompyutery-i-internet/product/scala-professionalnoe-programmirovanie-5-e-izd
Теоретический минимум по Computer Science. Все что н...;Фило;779 р.;https://www.piter.com/collection/kompyutery-i-internet/product/teoreticheskiy-minimum-po-computer-science-vse-chto-nuzhno-programmistu-i-razrabotchiku
C# 7 и .NET Core. Кросс-платформенная разработка для...;Прайс;;https://www.piter.com/collection/kompyutery-i-internet/product/c-7-i-net-core-kross-platformennaya-razrabotka-dlya-professionalov-3-e-izdanie
Чистый код: создание, анализ и рефакторинг. Библиоте...;Мартин;760 р.;https://www.piter.com/collection/kompyutery-i-internet/product/chistyy-kod-sozdanie-analiz-i-refaktoring-biblioteka-programmista-45ccca
